name,movie
Douglas Trumbull,Brainstorm
Douglas Trumbull,New Magic
Douglas Trumbull,Night of Dreams
Douglas Trumbull,Silent Running
Douglas Trumbull,The Man Who Killed Hitler and Then the Bigfoot
Douglas Trumbull,Brainstorm
Douglas Trumbull,Silent Running
Douglas Trumbull,UFOTOG
Douglas Trumbull,"C 299,792 km/s"
Peter Truckel,Blade Runner
Peter Truckel,Monkey Business
Per Hallberg,Amsterdam
Per Hallberg,Morbius
Per Hallberg,Zenimation
Per Hallberg,Ghost in the Shell
Per Hallberg,Life
Per Hallberg,Fences
Per Hallberg,Spectre
Per Hallberg,San Andreas
Per Hallberg,Delivery Man
Per Hallberg,Skyfall
Per Hallberg,The Bourne Legacy
Per Hallberg,Red Dawn
Per Hallberg,Safe House
Per Hallberg,What's Your Number?
Per Hallberg,Love Ranch
Per Hallberg,The Wolfman
Per Hallberg,G.I. Joe: The Rise of Cobra
Per Hallberg,Body of Lies
Per Hallberg,Eagle Eye
Per Hallberg,American Gangster
Per Hallberg,Things We Lost in the Fire
Per Hallberg,The Bourne Ultimatum
Per Hallberg,Freedom Writers
Per Hallberg,A Good Year
Per Hallberg,The Island
Per Hallberg,Kingdom of Heaven
Per Hallberg,Ray
Per Hallberg,The Bourne Supremacy
Per Hallberg,Van Helsing
Per Hallberg,Paycheck
Per Hallberg,Matchstick Men
Per Hallberg,Seabiscuit
Per Hallberg,The Bourne Identity
Per Hallberg,Black Hawk Down
Per Hallberg,Evolution
Per Hallberg,Hannibal
Per Hallberg,The Patriot
Per Hallberg,Gladiator
Per Hallberg,Tarzan
Per Hallberg,Urban Legend
Per Hallberg,Godzilla
Per Hallberg,The Replacement Killers
Per Hallberg,The Devil's Advocate
Per Hallberg,Face/Off
Per Hallberg,Heat
Per Hallberg,Braveheart
Per Hallberg,Legends of the Fall
Per Hallberg,Junior
Per Hallberg,My So-Called Life
Per Hallberg,The Last of the Mohicans
Per Hallberg,Air America
Per Hallberg,"Honey, I Shrunk the Kids"
Per Hallberg,Blade Runner
Per Hallberg,Directed by John Ford
David Dryer,Blade Runner
David Dryer,On the Edge of 'Blade Runner'
John Hayward,Sunshine
John Hayward,The Wind That Shakes the Barley
John Hayward,V for Vendetta
John Hayward,Ripley's Game
John Hayward,Conspiracy
John Hayward,Bridget Jones's Diary
John Hayward,Enigma
John Hayward,The World Is Not Enough
John Hayward,Virtual Sexuality
John Hayward,Entrapment
John Hayward,Wing Commander
John Hayward,GoldenEye
John Hayward,Hackers
John Hayward,Innocent Lies
John Hayward,A Foreign Field
John Hayward,1492: Conquest of Paradise
John Hayward,The Rainbow
John Hayward,The Lady and the Highwayman
John Hayward,Morons from Outer Space
John Hayward,Oxford Blues
John Hayward,The Dresser
John Hayward,Blade Runner
John Hayward,Roar
John Hayward,Circle of Iron
John Hayward,92 in the Shade
John Hayward,11 Harrowhouse
John Hayward,Open Season
John Hayward,The Day of the Jackal
John Hayward,Baffled!
John Hayward,The Amazing Mr. Blunden
John Hayward,The Devils
John Hayward,The Trojan Women
Doug Hemphill,The Harder They Fall
Doug Hemphill,Dune
Doug Hemphill,Gemini Man
Doug Hemphill,Us
Doug Hemphill,Blade Runner 2049
Doug Hemphill,Battle of the Sexes
Doug Hemphill,Life
Doug Hemphill,Blackhat
Doug Hemphill,The Maze Runner
Doug Hemphill,X-Men: Days of Future Past
Doug Hemphill,The Other Woman
Doug Hemphill,Percy Jackson: Sea of Monsters
Doug Hemphill,The Internship
Doug Hemphill,A Good Day to Die Hard
Doug Hemphill,Life of Pi
Doug Hemphill,Prometheus
Doug Hemphill,The Cabin in the Woods
Doug Hemphill,This Means War
Doug Hemphill,"Crazy, Stupid, Love."
Doug Hemphill,Mr. Popper's Penguins
Doug Hemphill,X-Men: First Class
Doug Hemphill,Due Date
Doug Hemphill,Life As We Know It
Doug Hemphill,Valentine's Day
Doug Hemphill,Sherlock Holmes
Doug Hemphill,Orphan
Doug Hemphill,Terminator Salvation
Doug Hemphill,Brothers
Doug Hemphill,Yes Man
Doug Hemphill,Max Payne
Doug Hemphill,Tropic Thunder
Doug Hemphill,The Dark Knight
Doug Hemphill,Aliens vs Predator: Requiem
Doug Hemphill,The Assassination of Jesse James by the Coward Robert Ford
Doug Hemphill,Hairspray
Doug Hemphill,Nancy Drew
Doug Hemphill,Charlie Bartlett
Doug Hemphill,The Reaping
Doug Hemphill,A Good Year
Doug Hemphill,X-Men: The Last Stand
Doug Hemphill,Lord of War
Doug Hemphill,Walk the Line
Doug Hemphill,Batman Begins
Doug Hemphill,Hide and Seek
Doug Hemphill,Elektra
Doug Hemphill,Flight of the Phoenix
Doug Hemphill,The Day After Tomorrow
Doug Hemphill,Master and Commander: The Far Side of the World
Doug Hemphill,The Rundown
Doug Hemphill,X2
Doug Hemphill,Daredevil
Doug Hemphill,Like Mike
Doug Hemphill,Enough
Doug Hemphill,Unfaithful
Doug Hemphill,Ice Age
Doug Hemphill,Hannibal
Doug Hemphill,From Hell
Doug Hemphill,Bedazzled
Doug Hemphill,Big Momma's House
Doug Hemphill,The Insider
Doug Hemphill,Cruel Intentions
Doug Hemphill,The Negotiator
Doug Hemphill,My Giant
Doug Hemphill,Wild Things
Doug Hemphill,The Replacement Killers
Doug Hemphill,Gattaca
Doug Hemphill,Jerry Maguire
Doug Hemphill,The Long Kiss Goodnight
Doug Hemphill,Last Man Standing
Doug Hemphill,Broken Arrow
Doug Hemphill,Congo
Doug Hemphill,Airheads
Doug Hemphill,Major League II
Doug Hemphill,My Life
Doug Hemphill,The Real McCoy
Doug Hemphill,The Firm
Doug Hemphill,Made in America
Doug Hemphill,The Last of the Mohicans
Doug Hemphill,Doc Hollywood
Doug Hemphill,King Ralph
Doug Hemphill,Havana
Doug Hemphill,Dick Tracy
Doug Hemphill,National Lampoon's Christmas Vacation
Doug Hemphill,Say Anything...
Doug Hemphill,Heathers
Doug Hemphill,Vibes
Doug Hemphill,A Time of Destiny
